Datetime,Open,High,Low,Close,Volume,ticker
2022-04-21 09:30:00-04:00,134.25,134.8000030517578,133.77969360351562,134.04559326171875,33895,SPG
2022-04-21 09:35:00-04:00,134.07110595703125,134.1875,133.45010375976562,133.5,20664,SPG
2022-04-21 09:40:00-04:00,133.55999755859375,133.8199005126953,133.3800048828125,133.74000549316406,9501,SPG
2022-04-21 09:45:00-04:00,133.6199951171875,133.75,133.5399932861328,133.61000061035156,8485,SPG
2022-04-21 09:50:00-04:00,133.66000366210938,133.80999755859375,133.44500732421875,133.47999572753906,42375,SPG
2022-04-21 09:55:00-04:00,133.5399932861328,133.59500122070312,133.03089904785156,133.07000732421875,16376,SPG
2022-04-21 10:00:00-04:00,133.0,133.02999877929688,132.77999877929688,132.97999572753906,10854,SPG
2022-04-21 10:05:00-04:00,133.02999877929688,133.07000732421875,132.6300048828125,132.7100067138672,16331,SPG
2022-04-21 10:10:00-04:00,132.74000549316406,133.1199951171875,132.64999389648438,132.8000030517578,17656,SPG
2022-04-21 10:15:00-04:00,132.7801055908203,132.8699951171875,132.5800018310547,132.5800018310547,14298,SPG
2022-04-21 10:20:00-04:00,132.55999755859375,132.64999389648438,132.4149932861328,132.52999877929688,19505,SPG
2022-04-21 10:25:00-04:00,132.44729614257812,132.55499267578125,132.25999450683594,132.50999450683594,16324,SPG
2022-04-21 10:30:00-04:00,132.52999877929688,132.72999572753906,132.47999572753906,132.72999572753906,7785,SPG
2022-04-21 10:35:00-04:00,132.74240112304688,132.85000610351562,132.64999389648438,132.6999969482422,17964,SPG
2022-04-21 10:40:00-04:00,132.64999389648438,133.07000732421875,132.6199951171875,133.0449981689453,25636,SPG
2022-04-21 10:45:00-04:00,133.01820373535156,133.0500030517578,132.72000122070312,132.80999755859375,13270,SPG
2022-04-21 10:50:00-04:00,132.77999877929688,132.96249389648438,132.77000427246094,132.9499969482422,12295,SPG
2022-04-21 10:55:00-04:00,132.89500427246094,133.02999877929688,132.89500427246094,133.01339721679688,21175,SPG
2022-04-21 11:00:00-04:00,132.9499969482422,133.0500030517578,132.7899932861328,133.0399932861328,20751,SPG
2022-04-21 11:05:00-04:00,133.02999877929688,133.02999877929688,132.7100067138672,132.72000122070312,10087,SPG
2022-04-21 11:10:00-04:00,132.77000427246094,133.00999450683594,132.77000427246094,132.89999389648438,10358,SPG
2022-04-21 11:15:00-04:00,132.91000366210938,132.97000122070312,132.6199951171875,132.69500732421875,9947,SPG
2022-04-21 11:20:00-04:00,132.7100067138672,132.7100067138672,132.3618927001953,132.64999389648438,6259,SPG
2022-04-21 11:25:00-04:00,132.64999389648438,132.72999572753906,132.6107940673828,132.6750030517578,5088,SPG
2022-04-21 11:30:00-04:00,132.6750030517578,132.69000244140625,132.5399932861328,132.6699981689453,13409,SPG
2022-04-21 11:35:00-04:00,132.6300048828125,132.72000122070312,132.58999633789062,132.6699981689453,6134,SPG
2022-04-21 11:40:00-04:00,132.72999572753906,132.73500061035156,132.44000244140625,132.49000549316406,16646,SPG
2022-04-21 11:45:00-04:00,132.5500030517578,132.69000244140625,132.41920471191406,132.69000244140625,16845,SPG
2022-04-21 11:50:00-04:00,132.6699981689453,132.75,132.55999755859375,132.55999755859375,5615,SPG
2022-04-21 11:55:00-04:00,132.51499938964844,132.55999755859375,132.4499969482422,132.49000549316406,8225,SPG
2022-04-21 12:00:00-04:00,132.5,132.80499267578125,132.3699951171875,132.41000366210938,7235,SPG
